fuel_type,body_type,kilometer_runned,transmission_type,number_of_owners,manufacturer,model,model_year,price,registration_year,insurance_validity,seats,engine_displacement,mileage,max_power(bhp),City
4,460293.0196,49.32,1,3,19,140,2015,400000,2015,5,5,9.99,2.85,4.06,0
4,1494416.76,31.98,1,2,6,45,2018,811000,2018,2,5,11.44,2.57,4.95,0
4,460293.0196,22.86,1,1,28,237,2018,585000,2018,2,5,10.62,2.88,4.38,0
4,1045481.863,26.11,1,1,8,79,2014,462000,2014,2,5,10.62,2.67,4.34,0
1,1494416.76,39.15,1,1,19,155,2015,790000,2015,5,5,10.77,2.87,4.46,0
1,1494416.76,27.14,1,1,11,92,2020,1900000,2020,5,5,12.51,2.58,5.54,0
4,460293.0196,33.55,1,1,4,33,2017,345000,2017,2,5,10.62,2.74,4.06,0
4,1494416.76,31.07,0,1,8,77,2021,1200000,2021,5,5,9.99,2.63,4.91,0
4,1045481.863,33.32,0,1,19,142,2018,960000,2018,2,5,11.35,2.73,4.69,0
4,460293.0196,22.86,1,1,28,237,2017,585000,2018,2,5,10.62,2.88,4.38,0
4,460293.0196,29.2,0,1,8,70,2019,682000,2019,5,5,10.62,2.66,4.34,0
4,460293.0196,28.44,0,1,7,59,2018,825000,2018,2,5,10.62,2.63,4.46,0
4,460293.0196,36.58,0,1,28,237,2018,595000,2018,2,5,10.62,2.88,4.38,0
1,1494416.76,47.75,1,3,16,129,2014,690000,2014,2,7,12.68,2.47,5.19,0
1,1494416.76,43.09,1,1,11,92,2018,1350000,2018,5,5,12.51,2.58,5.54,0
1,460293.0196,40.28,1,2,8,81,2014,521000,2014,2,5,11.18,2.77,4.46,0
4,1494416.76,21.54,1,1,28,233,2022,1005000,2022,5,5,10.62,2.59,4.91,0
4,1045481.863,40.62,1,2,7,56,2016,775000,2016,2,5,11.44,2.61,4.9,0
4,460293.0196,26.25,1,1,19,156,2016,582000,2016,2,5,10.62,2.82,4.46,0
4,1494416.76,31.07,1,1,26,205,2020,1090000,2020,5,5,11.44,2.54,4.71,0
4,460293.0196,38.63,1,2,28,237,2016,457000,2016,2,5,10.62,2.88,4.38,0
4,1045481.863,47.91,1,1,7,56,2015,550000,2015,5,5,11.44,2.59,4.9,0
4,460293.0196,28.62,0,1,8,73,2018,570000,2018,2,5,10.28,2.73,4.08,0
4,1045481.863,32.08,0,1,20,171,2017,4145000,2017,2,5,12.58,2.47,5.79,0
1,1494416.76,44.42,1,2,16,129,2014,861000,2014,4,7,12.68,2.47,5.19,0
1,1045481.863,34.2,0,2,0,2,2016,1785000,2016,5,5,12.53,2.58,5.59,0
1,1494416.76,42.91,1,2,16,129,2014,803000,2014,2,7,12.68,2.47,5.19,0
1,1494416.76,31.53,1,1,11,92,2021,2565000,2021,2,5,12.51,2.58,5.51,0
4,460293.0196,23.17,1,1,19,160,2015,349000,2015,2,5,9.99,2.74,4.06,0
4,1042342.282,39.15,1,2,19,144,2019,1050000,2019,5,7,11.35,2.68,4.69,0
1,1045481.863,22.89,0,1,20,168,2019,4425000,2019,2,5,12.49,2.33,5.79,0
4,460293.0196,34.48,1,2,19,160,2015,406000,2015,2,5,9.99,2.74,4.06,0
4,1045481.863,26.28,0,1,1,13,2020,4965000,2020,6,5,12.6,2.5,5.84,0
1,1494416.76,49.32,1,3,29,247,2011,1100000,2011,5,7,12.68,2.26,5.52,0
1,1494416.76,34.2,0,2,26,205,2020,1100000,2020,5,5,11.35,2.71,4.77,0
4,460293.0196,44.76,1,1,8,81,2016,594000,2016,2,5,10.62,2.65,4.34,0
1,460293.0196,49.32,1,1,8,81,2017,710000,2017,5,5,11.18,2.82,4.46,0
4,460293.0196,38.48,1,1,19,137,2017,692000,2017,6,5,10.62,2.78,4.36,0
4,1045481.863,49.32,1,1,8,68,2013,650000,2013,5,5,12.16,2.54,5.28,0
1,1045481.863,38.93,0,1,0,3,2015,2090000,2016,5,5,12.53,2.65,5.73,0
4,460293.0196,26.61,1,1,19,135,2021,411000,2021,6,5,9.38,2.8,3.62,0
1,1494416.76,49.32,1,2,16,122,2010,650000,2010,5,7,12.68,2.29,4.93,0
4,460293.0196,34.2,0,1,21,183,2016,3675000,2016,2,4,12.6,2.59,5.74,0
4,460293.0196,39.35,1,1,28,237,2019,610000,2019,2,5,10.62,2.88,4.38,0
4,1494416.76,32.25,0,2,12,97,2020,1675000,2020,2,5,11.06,2.55,5.17,0
4,460293.0196,40.58,1,2,28,237,2018,530000,2018,2,5,10.62,2.88,4.38,0
4,460293.0196,35.38,1,1,8,81,2019,715000,2019,5,5,10.62,2.65,4.34,0
1,1494416.76,46.42,0,2,20,173,2014,3500000,2014,5,7,12.68,2.25,5.84,0
1,1494416.76,29.24,0,1,28,232,2021,2250000,2021,2,6,12.51,2.41,5.51,0
4,460293.0196,33.24,1,1,8,70,2018,625000,2019,2,5,10.62,2.66,4.34,0
1,1494416.76,42.91,0,1,0,7,2015,2695000,2015,2,7,12.68,2.29,5.84,0
1,1494416.76,49.32,1,2,16,122,2010,650000,2010,5,8,12.68,2.29,4.93,0
4,460293.0196,21.54,0,1,26,207,2022,550000,2022,5,5,10,2.8,4.06,0
1,1494416.76,37.71,1,1,28,233,2018,825000,2018,2,5,11.44,2.78,4.77,0
4,460293.0196,46.42,1,2,8,69,2006,220000,2006,5,5,11.03,2.48,4.34,0
4,460293.0196,37.79,0,1,19,140,2014,428000,2014,2,5,9.99,2.99,4.04,0
1,1045481.863,47.91,1,1,27,218,2014,695000,2014,5,5,11.44,2.77,4.7,0
4,1494416.76,33.54,1,2,6,45,2019,930000,2019,5,5,11.44,2.51,4.94,0
4,460293.0196,25.9,1,1,19,135,2021,455000,2021,2,5,9.38,2.8,3.62,0
1,1494416.76,45.47,1,1,8,66,2017,1195000,2017,2,5,11.65,2.7,5.02,0
